user_id,post_id
1201,762
1201,763
1219,473
1219,474
1219,475
1220,285
1220,488
1235,351
1235,358
1303,518
1303,519
1303,520
1303,521
1303,523
1306,109
1307,923
1310,4
1318,298
1318,299
1318,300
1340,528
1340,529
1397,534
1400,550
1400,551
1412,902
1413,222
1413,227
1426,599
1426,600
1439,775
1439,779
1442,33
1451,117
1466,507
1466,508
1487,29
1517,208
1517,209
1517,210
1553,47
1553,48
1553,49
1553,50
1558,114
1558,115
1564,605
1571,827
1571,828
1571,829
1571,855
1571,859
1571,860
1578,478
1591,383
1591,743
1591,744
1614,491
1614,492
1614,493
1614,494
1614,495
1614,506
1614,808
1614,809
1614,816
1614,817
1635,397
1635,416
1635,417
1635,418
1650,301
1650,302
1650,303
1653,177
1653,178
1653,179
1659,140
1666,839
1666,840
1666,841
1666,842
1666,852
1666,853
1666,856
1666,858
1666,862
1666,877
1667,780
1667,781
1667,782
1667,783
1717,954
1717,955
1717,956
1719,2
1743,185
1743,186
1743,187
1787,6
1787,11
1799,402
1799,403
1799,437
1801,513
1802,126
1802,544
1805,616
1805,617
1811,624
1811,861
1825,120
1825,197
1825,220
1825,221
1825,467
1833,129
1835,537
1835,538
1840,255
1840,256
1859,267
1859,268
1859,271
1859,272
1861,679
1861,680
1861,681
1861,682
1861,683
1861,684
1883,110
1886,183
1910,969
1910,970
1925,821
1925,822
1925,830
1925,831
1925,832
1929,37
1947,269
1947,310
1968,64
1980,671
1980,672
1980,673
1980,674
1980,675
1985,640
1985,641
1985,642
1985,643
1998,890
1998,900
2040,9
2040,12
2040,13
2061,525
2061,526
2061,527
2061,531
2064,729
2064,730
2077,1
2102,34
2112,168
2112,169
2112,170
2119,929
2119,930
2119,931
2119,932
2135,337
2135,338
2135,339
2135,340
2139,464
2139,465
2139,466
2141,386
2141,387
2151,20
2153,23
2153,211
2154,46
2156,36
2156,487
2158,24
2159,40
2162,101
2162,111
2164,134
2164,135
2164,136
2164,137
2164,138
2164,139
2167,52
2168,65
2168,511
2170,60
2172,87
2172,462
2176,91
2177,391
2177,479
2177,480
2178,774
2179,92
2181,112
2182,116
2183,734
2183,735
2183,736
2183,737
2183,804
2184,113
2184,123
2185,198
2185,515
2186,204
2186,205
2186,206
2186,207
2187,124
2188,127
2188,128
2191,144
2191,167
2192,132
2192,133
2193,156
2194,162
2194,350
2195,163
2196,161
2197,164
2197,542
2198,165
2199,432
2201,184
2202,203
2203,315
2205,196
2207,213
2207,328
2208,219
2211,257
2212,270
2212,385
2215,246
2216,685
2216,686
2217,243
2217,244
2217,245
2217,281
2217,282
2217,283
2218,284
2219,258
2219,957
2221,490
2224,309
2225,326
2226,898
2227,327
2227,835
2228,311
2228,312
2229,331
2230,329
2230,330
2233,354
2233,378
2235,376
2235,514
2238,384
2239,392
2240,393
2242,394
2242,395
2242,396
2247,818
2247,819
2247,820
2248,460
2249,509
2250,476
2250,477
2251,560
2252,481
2253,482
2255,510
2258,533
2259,522
2261,742
2263,539
2264,878
2264,879
2264,880
2265,545
2265,546
2266,557
2266,558
2266,559
2268,633
2272,949
2274,666
2275,703
2276,769
2276,770
2278,687
2278,688
2279,699
2279,700
2279,701
2280,707
2280,710
2280,712
2281,764
2284,731
2286,893
2286,894
2286,895
2286,896
2288,765
2288,771
2288,773
2290,823
2291,885
2292,843
2292,844
2296,909
2296,939
2297,966
